,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2021-11-04,19.09680938720703,58.63999938964844,1229.9100341796875,19.420000076293945,58.63999938964844,1229.9100341796875,19.5,58.77000045776367,1243.489990234375,18.719999313354492,56.27000045776367,1217.0,18.920000076293945,56.470001220703125,1234.4100341796875,157505500,24026100,25397400
2021-11-05,18.968975067138672,58.52000045776367,1222.0899658203125,19.290000915527344,58.52000045776367,1222.0899658203125,19.719999313354492,59.349998474121094,1239.8699951171875,18.989999771118164,58.04999923706055,1208.0,19.709999084472656,59.150001525878906,1228.0,122232200,16302200,21628800
2021-11-08,19.814661026000977,59.599998474121094,1162.93994140625,20.149999618530273,59.599998474121094,1162.93994140625,20.420000076293945,60.33000183105469,1197.0,19.239999771118164,58.47999954223633,1133.0,19.399999618530273,58.7599983215332,1149.7900390625,153490400,14385500,33445700
2021-11-09,19.7851619720459,58.619998931884766,1023.5,20.1200008392334,58.619998931884766,1023.5,20.510000228881836,59.93000030517578,1174.5,19.40999984741211,57.810001373291016,1011.52001953125,20.510000228881836,59.810001373291016,1173.5999755859375,164928500,13822900,59105800
2021-11-10,19.037809371948242,59.27000045776367,1067.949951171875,19.360000610351562,59.27000045776367,1067.949951171875,20.469999313354492,60.560001373291016,1078.0999755859375,19.059999465942383,57.72999954223633,987.3099975585938,19.8799991607666,57.849998474121094,1010.4099731445312,229109600,22778600,42802700
2021-11-11,19.224647521972656,61.81999969482422,1063.510009765625,19.549999237060547,61.81999969482422,1063.510009765625,19.84000015258789,62.150001525878906,1104.969970703125,19.260000228881836,59.310001373291016,1054.6800537109375,19.639999389648438,59.81999969482422,1102.77001953125,96436500,29033900,22396600
2021-11-12,19.175477981567383,63.400001525878906,1033.4200439453125,19.5,63.400001525878906,1033.4200439453125,19.6200008392334,64.02999877929688,1054.5,19.209999084472656,61.279998779296875,1019.2000122070312,19.3799991607666,61.59000015258789,1047.5,77837900,31152400,25573100
2021-11-15,19.529489517211914,62.970001220703125,1013.3900146484375,19.860000610351562,62.970001220703125,1013.3900146484375,19.950000762939453,63.72999954223633,1031.97998046875,19.139999389648438,62.630001068115234,978.5999755859375,19.459999084472656,63.65999984741211,1017.6300048828125,84838600,14372100,34775600
2021-11-16,19.46065330505371,62.61000061035156,1054.72998046875,19.790000915527344,62.61000061035156,1054.72998046875,20.059999465942383,63.279998779296875,1057.199951171875,19.530000686645508,61.93000030517578,1002.1799926757812,19.899999618530273,63.2400016784668,1003.3099975585938,66557200,16115000,26542400
2021-11-17,19.62782096862793,64.61000061035156,1089.010009765625,19.959999084472656,64.61000061035156,1089.010009765625,20.010000228881836,65.06999969482422,1119.6400146484375,19.440000534057617,62.380001068115234,1055.5,19.739999771118164,63.33000183105469,1063.510009765625,80855200,29983400,31445400
2021-11-18,19.331329345703125,62.33000183105469,1096.3800048828125,19.559999465942383,62.33000183105469,1096.3800048828125,20.260000228881836,65.18000030517578,1112.0,19.360000610351562,62.09000015258789,1075.02001953125,20.15999984741211,64.33000183105469,1106.550048828125,111368800,23308100,20898900
